season_start,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,win_perc
1993,11T,Latrell Sprewell\sprewla01,23,GSW,0,1,1010,0.001,82,43.1,21,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8,0.108,0.61
1993,11T,John Stockton\stockjo01,31,UTA,0,1,1010,0.001,82,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,0.214,0.646
1993,11T,Dominique Wilkins\wilkido01,34,LAC,0,1,1010,0.001,74,35.6,26,6.5,2.3,1.2,0.4,0.44,0.288,0.847,8.4,0.153,0.329
1993,11T,Kevin Willis\willike02,31,ATL,0,1,1010,0.001,80,35.8,19.1,12,1.9,1,0.5,0.499,0.375,0.713,10.2,0.17,0.695
1992,1,Charles Barkley\barklch01,29,PHO,59,835,980,0.852,76,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242,0.756
1992,2,Hakeem Olajuwon\olajuha01,30,HOU,22,647,980,0.66,82,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,0.234,0.671
1992,3,Michael Jordan\jordami01,29,CHI,13,565,980,0.577,78,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27,0.695
1992,4,Patrick Ewing\ewingpa01,30,NYK,4,359,980,0.366,81,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,0.17,0.732
1992,5,Dominique Wilkins\wilkido01,33,ATL,0,54,980,0.055,71,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,0.191,0.524
1992,6,David Robinson\robinda01,27,SAS,0,33,980,0.034,82,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197,0.598
1992,7,Shaquille O'Neal\onealsh01,20,ORL,0,30,980,0.031,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163,0.5
1992,8T,Karl Malone\malonka01,29,UTA,0,10,980,0.01,82,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,0.238,0.573
1992,8T,Mark Price\pricema01,28,CLE,0,10,980,0.01,75,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,0.197,0.659
1992,10T,Brad Daugherty\daughbr01,27,CLE,0,1,980,0.001,71,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226,0.659
1992,10T,Clyde Drexler\drexlcl01,30,POR,0,1,980,0.001,49,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6,0.171,0.622
1992,10T,Joe Dumars\dumarjo01,29,DET,0,1,980,0.001,77,40.2,23.5,1.9,4,1,0.1,0.466,0.375,0.864,9.1,0.141,0.488
1992,10T,Shawn Kemp\kempsh01,23,SEA,0,1,980,0.001,78,33.1,17.8,10.7,2,1.5,1.9,0.492,0,0.712,9.1,0.169,0.671
1992,10T,John Stockton\stockjo01,30,UTA,0,1,980,0.001,82,34.9,15.1,2.9,12,2.4,0.3,0.486,0.385,0.798,10.6,0.177,0.573
1991,1,Michael Jordan\jordami01,28,CHI,80,900,960,0.938,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274,0.817
1991,2,Clyde Drexler\drexlcl01,29,POR,12,561,960,0.584,76,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223,0.695
1991,3,David Robinson\robinda01,26,SAS,2,337,960,0.351,68,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26,0.573
1991,4,Karl Malone\malonka01,28,UTA,1,262,960,0.273,81,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,0.237,0.671
1991,5,Patrick Ewing\ewingpa01,29,NYK,0,100,960,0.104,82,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,0.198,0.622
1991,6,Chris Mullin\mullich01,28,GSW,0,81,960,0.084,81,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155,0.671
1991,7,Mark Price\pricema01,27,CLE,0,66,960,0.069,72,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205,0.695
1991,8,Tim Hardaway\hardati01,25,GSW,0,64,960,0.067,81,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,0.132,0.671
1991,9,Scottie Pippen\pippesc01,26,CHI,1,32,960,0.033,82,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,0.192,0.817
1991,10,Dennis Rodman\rodmade01,30,DET,0,26,960,0.027,82,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183,0.585
1991,11,Brad Daugherty\daughbr01,26,CLE,0,24,960,0.025,73,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,0.213,0.695
1991,12T,Charles Barkley\barklch01,28,PHI,0,18,960,0.019,75,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205,0.427
1991,12T,John Stockton\stockjo01,29,UTA,0,18,960,0.019,82,36.6,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,0.215,0.671
1991,14,Larry Bird\birdla01,35,BOS,0,3,960,0.003,45,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,0.159,0.622
1991,15,Kevin Johnson\johnske02,25,PHO,0,2,960,0.002,78,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,0.165,0.646
1991,16T,Danny Manning\mannida01,25,LAC,0,1,960,0.001,82,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0,0.725,9.8,0.162,0.549
1991,16T,Detlef Schrempf\schrede01,29,IND,0,1,960,0.001,80,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181,0.488
1990,1,Michael Jordan\jordami01,27,CHI,77,891,960,0.928,82,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321,0.744
1990,2,Magic Johnson\johnsma02,31,LAL,10,497,960,0.518,79,37.1,19.4,7,12.5,1.3,0.2,0.477,0.32,0.906,15.4,0.251,0.707
1990,3,David Robinson\robinda01,25,SAS,6,476,960,0.496,82,37.7,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,17,0.264,0.671
1990,4,Charles Barkley\barklch01,27,PHI,2,222,960,0.231,67,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,0.258,0.537
1990,5,Karl Malone\malonka01,27,UTA,0,142,960,0.148,82,40.3,29,11.8,3.3,1.1,1,0.527,0.286,0.77,15.5,0.225,0.659
1990,6,Clyde Drexler\drexlcl01,28,POR,1,75,960,0.078,82,34.8,21.5,6.7,6,1.8,0.7,0.482,0.319,0.794,12.4,0.209,0.768
1990,7,Kevin Johnson\johnske02,24,PHO,0,32,960,0.033,77,36,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,12.7,0.22,0.671
1990,8,Dominique Wilkins\wilkido01,31,ATL,0,29,960,0.03,81,38,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,11.4,0.177,0.524
1990,9T,Larry Bird\birdla01,34,BOS,0,25,960,0.026,60,38,19.4,8.5,7.2,1.8,1,0.454,0.389,0.891,6.6,0.14,0.683
1990,9T,Terry Porter\portete01,27,POR,0,25,960,0.026,81,32.9,17,3.5,8,2,0.1,0.515,0.415,0.823,13,0.235,0.768
1990,11,Patrick Ewing\ewingpa01,28,NYK,0,20,960,0.021,81,38.3,26.6,11.2,3,1,3.2,0.514,0,0.745,10,0.155,0.476
1990,12,John Stockton\stockjo01,28,UTA,0,15,960,0.016,82,37.8,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,14,0.217,0.659
1990,13,Isiah Thomas\thomais01,29,DET,0,11,960,0.011,48,34.5,16.2,3.3,9.3,1.6,0.2,0.435,0.292,0.782,3.4,0.098,0.61
1990,14,Robert Parish\parisro01,37,BOS,0,10,960,0.01,81,30.1,14.9,10.6,0.8,0.8,1.3,0.598,0,0.767,10,0.198,0.683
1990,15,Joe Dumars\dumarjo01,27,DET,0,8,960,0.008,80,38.1,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,9.9,0.155,0.61
1990,16,Bernard King\kingbe01,34,WSB,0,7,960,0.007,64,37.5,28.4,5,4.6,0.9,0.3,0.472,0.216,0.79,3.5,0.07,0.366
1990,17,Kenny Smith\smithke01,25,HOU,0,5,960,0.005,78,34.6,17.7,2.1,7.1,1.4,0.1,0.52,0.363,0.844,9,0.161,0.634
1990,18,Hakeem Olajuwon\olajuha01,28,HOU,0,4,960,0.004,56,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0,0.769,8.6,0.201,0.634
1990,19T,Tim Hardaway\hardati01,24,GSW,0,1,960,0.001,82,39.2,22.9,4,9.7,2.6,0.1,0.476,0.385,0.803,9.9,0.148,0.537
1990,19T,Kevin McHale\mchalke01,33,BOS,0,1,960,0.001,68,30.4,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,7.9,0.182,0.683
1989,1,Magic Johnson\johnsma02,30,LAL,27,636,920,0.691,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27,0.768
1989,2,Charles Barkley\barklch01,26,PHI,38,614,920,0.667,79,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,0.269,0.646
1989,3,Michael Jordan\jordami01,26,CHI,21,564,920,0.613,82,39,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19,0.285,0.671
1989,4,Karl Malone\malonka01,26,UTA,2,214,920,0.233,82,38.1,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,0.245,0.671
1989,5,Patrick Ewing\ewingpa01,27,NYK,1,162,920,0.176,82,38.6,28.6,10.9,2.2,1,4,0.551,0.25,0.775,13.5,0.205,0.549
1989,6,David Robinson\robinda01,24,SAS,2,102,920,0.111,82,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241,0.683
1989,7,Hakeem Olajuwon\olajuha01,27,HOU,1,64,920,0.07,82,38.1,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,11.2,0.173,0.5
1989,8,Tom Chambers\chambto01,30,PHO,0,12,920,0.013,81,37.6,27.2,7,2.3,1.1,0.6,0.501,0.279,0.861,11.2,0.176,0.659
1989,9,John Stockton\stockjo01,27,UTA,0,9,920,0.01,78,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,0.238,0.671
1989,10T,Larry Bird\birdla01,33,BOS,0,5,920,0.005,75,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,0.154,0.634
1989,10T,Buck Williams\willibu01,29,POR,0,5,920,0.005,82,34.2,13.6,9.8,1.4,0.8,0.5,0.548,0,0.706,8.7,0.149,0.72
1989,12,Clyde Drexler\drexlcl01,27,POR,0,3,920,0.003,73,36.8,23.3,6.9,5.9,2,0.7,0.494,0.283,0.774,11.6,0.208,0.72
1989,13T,Joe Dumars\dumarjo01,26,DET,0,1,920,0.001,75,34.4,17.8,2.8,4.9,0.8,0,0.48,0.4,0.9,8.7,0.162,0.72
1989,13T,Isiah Thomas\thomais01,28,DET,0,1,920,0.001,81,37,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,6.7,0.107,0.72
1988,1,Magic Johnson\johnsma02,29,LAL,42.5,664.5,850,0.782,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267,0.695
1988,2,Michael Jordan\jordami01,25,CHI,27.5,598.8,850,0.704,81,40.2,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,0.292,0.573
1988,3,Karl Malone\malonka01,25,UTA,5,362,850,0.426,80,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233,0.622
1988,4,Patrick Ewing\ewingpa01,26,NYK,8,200,850,0.235,80,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181,0.634
1988,5,Hakeem Olajuwon\olajuha01,26,HOU,2,179.3,850,0.211,82,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,0.197,0.549
1988,6,Charles Barkley\barklch01,25,PHI,0,94.3,850,0.111,79,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25,0.561
1988,7,John Stockton\stockjo01,26,UTA,0,28,850,0.033,82,38.7,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236,0.622
1988,8,Kevin Johnson\johnske02,22,PHO,0,22,850,0.026,81,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184,0.671
1988,9,Tom Chambers\chambto01,29,PHO,0,20,850,0.024,81,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,0.146,0.671
1988,10,Mark Price\pricema01,24,CLE,0,18,850,0.021,75,36.4,18.9,3,8.4,1.5,0.1,0.526,0.441,0.901,11.3,0.199,0.695
1988,11T,Brad Daugherty\daughbr01,23,CLE,0,4,850,0.005,78,36.2,18.9,9.2,3.7,0.8,0.5,0.538,0.333,0.737,9.6,0.164,0.695
1988,11T,Robert Parish\parisro01,35,BOS,0,4,850,0.005,80,35.5,18.6,12.5,2.2,1,1.5,0.57,0,0.719,10.5,0.177,0.512
1988,13T,Mark Eaton\eatonma01,32,UTA,0,3,850,0.004,82,35.5,6.2,10.3,1,0.5,3.8,0.462,0,0.66,6.6,0.108,0.622
1988,13T,Moses Malone\malonmo01,33,ATL,0,3,850,0.004,81,35.5,20.2,11.8,1.4,1,1.2,0.491,0,0.789,10.7,0.178,0.634
1988,13T,Chris Mullin\mullich01,25,GSW,0,3,850,0.004,82,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,0.165,0.524
1988,13T,Larry Nance\nancela01,29,CLE,0,3,850,0.004,73,34.6,17.2,8,2.2,0.8,2.8,0.539,0,0.799,10.3,0.197,0.695
1988,17T,Terry Cummings\cummite01,27,MIL,0,1,850,0.001,80,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7,0.131,0.598
1988,17T,Joe Dumars\dumarjo01,25,DET,0,1,850,0.001,69,34.9,17.2,2.5,5.7,0.9,0.1,0.505,0.483,0.85,7,0.14,0.768
1988,17T,Isiah Thomas\thomais01,27,DET,0,1,850,0.001,80,36.6,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,7,0.115,0.768
1987,1,Michael Jordan\jordami01,24,CHI,47,665,800,0.831,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,0.61
1987,2,Larry Bird\birdla01,31,BOS,16,527,800,0.659,76,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,0.243,0.695
1987,3,Magic Johnson\johnsma02,28,LAL,16,508,800,0.635,72,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199,0.756
1987,4,Charles Barkley\barklch01,24,PHI,1,109,800,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253,0.439
1987,5,Clyde Drexler\drexlcl01,25,POR,0,86,800,0.108,81,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207,0.646
1987,6,Dominique Wilkins\wilkido01,28,ATL,0,55,800,0.069,78,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16,0.61
1987,7,Hakeem Olajuwon\olajuha01,25,HOU,0,40,800,0.05,79,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,0.182,0.561
1987,8,Karl Malone\malonka01,24,UTA,0,36,800,0.045,82,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,0.152,0.573
1987,9,Fat Lever\leverfa01,27,DEN,0,26,800,0.033,82,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163,0.659
1987,10,John Stockton\stockjo01,25,UTA,0,15,800,0.019,82,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,0.238,0.573
1987,11,Alex English\englial01,34,DEN,0,4,800,0.005,80,35.2,25,4.7,4.7,0.9,0.3,0.495,0,0.828,7.6,0.129,0.659
1987,12,Isiah Thomas\thomais01,26,DET,0,3,800,0.004,81,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,0.124,0.659
1987,13,Mark Jackson\jacksma01,22,NYK,0,2,800,0.003,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113,0.463
1987,14T,Michael Adams\adamsmi01,25,DEN,0,1,800,0.001,82,33.9,13.9,2.7,6.1,2,0.2,0.449,0.367,0.834,7.5,0.13,0.659
1987,14T,Mark Aguirre\aguirma01,28,DAL,0,1,800,0.001,77,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,0.163,0.646
1987,14T,Adrian Dantley\dantlad01,32,DET,0,1,800,0.001,69,31.1,20,3.3,2.5,0.6,0.1,0.514,0,0.86,9.4,0.21,0.659
1987,14T,Buck Williams\willibu01,27,NJN,0,1,800,0.001,70,37.7,18.3,11.9,1.6,1,0.6,0.56,1,0.668,7.6,0.138,0.232
1986,1,Magic Johnson\johnsma02,27,LAL,65,733,780,0.94,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263,0.793
1986,2,Michael Jordan\jordami01,23,CHI,10,449,780,0.576,82,40,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247,0.488
1986,3,Larry Bird\birdla01,30,BOS,1,271,780,0.347,74,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243,0.72
1986,4,Kevin McHale\mchalke01,29,BOS,0,254,780,0.326,77,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,0.232,0.72
1986,5,Dominique Wilkins\wilkido01,27,ATL,0,128,780,0.164,79,37.6,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197,0.695
1986,6,Charles Barkley\barklch01,23,PHI,1,113,780,0.145,68,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21,0.549
1986,7,Hakeem Olajuwon\olajuha01,24,HOU,1,28,780,0.036,75,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189,0.512
1986,8,Isiah Thomas\thomais01,25,DET,0,17,780,0.022,81,37.2,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,0.121,0.634
1986,9,Fat Lever\leverfa01,26,DEN,0,11,780,0.014,82,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153,0.451
1986,10,Moses Malone\malonmo01,31,WSB,0,9,780,0.012,73,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,0.182,0.512
1986,11,Steve Johnson\johnsst03,29,POR,0,4,780,0.005,79,29.7,16.8,7.2,2,0.6,1,0.556,0,0.698,4.4,0.091,0.598
1986,12T,Karl Malone\malonka01,23,UTA,0,3,780,0.004,82,34.8,21.7,10.4,1.9,1.3,0.7,0.512,0,0.598,6.9,0.116,0.537
1986,12T,Robert Parish\parisro01,33,BOS,0,3,780,0.004,80,37.4,17.5,10.6,2.2,0.8,1.8,0.556,0,0.735,9.2,0.147,0.72
1986,14,Alex English\englial01,33,DEN,0,2,780,0.003,82,37.6,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.844,8.1,0.126,0.451
1986,15T,Mark Aguirre\aguirma01,27,DAL,0,1,780,0.001,80,33.3,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,8.9,0.16,0.671
1986,15T,Rolando Blackman\blackro01,27,DAL,0,1,780,0.001,80,34.5,21,3.5,3.3,0.8,0.3,0.495,0.333,0.884,8,0.14,0.671
1986,15T,Joe Barry Carroll\carrojo01,28,GSW,0,1,780,0.001,81,33.6,21.2,7.3,2.6,1.1,1.5,0.472,0,0.787,4.6,0.082,0.512
1985,1,Larry Bird\birdla01,29,BOS,73,765,780,0.981,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244,0.817
1985,2,Dominique Wilkins\wilkido01,26,ATL,5,407,780,0.522,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17,0.61
1985,3,Magic Johnson\johnsma02,26,LAL,0,205,780,0.263,72,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226,0.756
1985,4,Hakeem Olajuwon\olajuha01,23,HOU,0,193,780,0.247,68,36.3,23.5,11.5,2,2,3.4,0.526,0,0.645,9.5,0.186,0.622
1985,5,Kareem Abdul-Jabbar\abdulka01,38,LAL,0,135,780,0.173,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197,0.756
1985,6,Charles Barkley\barklch01,22,PHI,0,133,780,0.171,80,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176,0.659
1985,7,Sidney Moncrief\moncrsi01,28,MIL,0,56,780,0.072,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219,0.695
1985,8,Alex English\englial01,32,DEN,0,55,780,0.071,81,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156,0.573
1985,9,Isiah Thomas\thomais01,24,DET,0,28,780,0.036,77,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151,0.561
1985,10,Moses Malone\malonmo01,30,PHI,0,21,780,0.027,74,36.6,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,0.157,0.659
